codigo,region,comuna,poblacion,personas_pobreza_por_ingresos,porcentaje_pobreza_por_ingresos_2022,limite_inferior_ingreso,limite_superior_ingreso,presencia_comuna_casen,tipo_de_estimacion_sae,porcentaje_pobreza_multidimensional_2022,limite_inferior_multidimensional,limite_superior_multidimensional
6111, O'Higgins,Olivar,14869.0,1184.0,0.07963365547352402,0.04265092202337759,0.1166163889236705,Sí,Directa y Sintética (Fay-Herriot),0.1843191227390378,0.1244678958362967,0.2441703496417789
6112, O'Higgins,Peumo,15001.0,1158.0,0.07718469751227644,0.0444438388145414,0.1099255562100115,Sí,Directa y Sintética (Fay-Herriot),0.1081426635227316,0.06264917745934104,0.1536361495861221
6113, O'Higgins,Pichidegua,20969.0,2290.0,0.1092073031580498,0.06380134883478177,0.1546132574813179,Sí,Directa y Sintética (Fay-Herriot),0.1304149837700122,0.07717728905578371,0.1836526784842407
6114, O'Higgins,Quinta De Tilcoco,14134.0,1277.0,0.09036315425912916,0.04139411274234476,0.1393321957759136,Sí,Sintética,0.1475476136345906,0.0944938769189314,0.2006013503502498
6115, O'Higgins,Rengo,65037.0,3534.0,0.05433068555487434,0.02900899821950213,0.07965237289024656,Sí,Directa y Sintética (Fay-Herriot),0.1356822423743538,0.09756565506669285,0.1737988296820148
6116, O'Higgins,Requínoa,31219.0,930.0,0.02979123229974102,0.005673943661597403,0.05390852093788463,Sí,Directa y Sintética (Fay-Herriot),0.1678949479353388,0.1176518876987606,0.218138008171917
6117, O'Higgins,San Vicente,51677.0,4754.0,0.09198570254079973,0.05544372935125415,0.1285276757303453,Sí,Directa y Sintética (Fay-Herriot),0.1713239198961732,0.1225158117830103,0.2201320280093362
6201, O'Higgins,Pichilemu,18463.0,1269.0,0.06872415195130183,0.03299913598525818,0.1044491679173455,Sí,Directa y Sintética (Fay-Herriot),0.1811798568147862,0.1203953054099906,0.2419644082195818
6202, O'Higgins,La Estrella,3105.0,302.0,0.09728368546986366,0.04255317367480543,0.1520141972649219,Sí,Sintética,0.1589648691103269,0.08864320396058165,0.2292865342600722
6203, O'Higgins,Litueche,6886.0,645.0,0.09372233190652567,0.04460083216599698,0.1428438316470544,Sí,Sintética,0.2784890455672739,0.2083098018279588,0.3486682893065891
6204, O'Higgins,Marchihue,7684.0,703.0,0.09152807931565488,0.04200118385030527,0.1410549747810045,Sí,Sintética,0.1672746329487706,0.1008400995581924,0.2337091663393488
6205, O'Higgins,Navidad,7050.0,868.0,0.1231394137656237,0.07707220373209231,0.169206623799155,Sí,Directa y Sintética (Fay-Herriot),0.2064829004379032,0.1376677770056039,0.2752980238702025
6206, O'Higgins,Paredones,6298.0,941.0,0.1493725761650852,0.08499296696379688,0.2137521853663735,Sí,Sintética,0.2119516198970477,0.1434701353596154,0.28043310443448
6301, O'Higgins,San Fernando,80197.0,5460.0,0.06808443290566933,0.04324543346101679,0.09292343235032187,Sí,Directa y Sintética (Fay-Herriot),0.1364157641574735,0.09872177668378133,0.1741097516311657
6302, O'Higgins,Chépica,16080.0,1426.0,0.08865056438840242,0.04371293743979553,0.1335881913370093,Sí,Directa y Sintética (Fay-Herriot),0.1635293464255572,0.1074688121588122,0.2195898806923021
6303, O'Higgins,Chimbarongo,38164.0,3254.0,0.08525440862625479,0.04873233068291179,0.1217764865695978,Sí,Directa y Sintética (Fay-Herriot),0.1745653840249027,0.1274497881716855,0.22168097987812
6304, O'Higgins,Lolol,7396.0,848.0,0.1145996711178917,0.05721428968332282,0.1719850525524605,Sí,Sintética,0.2201930221921328,0.1466032548823453,0.2937827895019203
6305, O'Higgins,Nancagua,19498.0,1738.0,0.08911187203227197,0.05401064510512136,0.1242130989594226,Sí,Directa y Sintética (Fay-Herriot),0.1551725270452553,0.1082078281495191,0.2021372259409914
6306, O'Higgins,Palmilla,13484.0,1095.0,0.08119808758839814,0.04164782822404778,0.1207483469527485,Sí,Directa y Sintética (Fay-Herriot),0.1814471049826391,0.1180329146289202,0.2448612953363581
6307, O'Higgins,Peralillo,12061.0,866.0,0.07181502243009433,0.0276663740217122,0.1159636708384765,Sí,Sintética,0.1578689958581813,0.1061879873008945,0.2095500044154681
6308, O'Higgins,Placilla,9244.0,887.0,0.09593949771363816,0.04191242133387801,0.1499665740933983,Sí,Sintética,0.1902561804393729,0.1313413364504519,0.2491710244282939
6309, O'Higgins,Pumanque,3523.0,436.0,0.1236410123484773,0.0656882112993892,0.1815938133975653,Sí,Sintética,0.1470926442698932,0.07657767821434089,0.2176076103254456
6310, O'Higgins,Santa Cruz,42033.0,2817.0,0.06701959379957936,0.0359260666160202,0.09811312098313853,Sí,Directa y Sintética (Fay-Herriot),0.1057750663535234,0.06136031817242975,0.150189814534617
7101,Maule,Talca,240239.0,13759.0,0.05727019677776846,0.04165687755027964,0.07288351600525728,Sí,Directa y Sintética (Fay-Herriot),0.1064248432373778,0.08827305494389742,0.1245766315308582
7102,Maule,Constitución,50536.0,5463.0,0.1081072542788957,0.07324391599485108,0.1429705925629403,Sí,Directa y Sintética (Fay-Herriot),0.1716681538620413,0.1235905557295869,0.2197457519944956
7103,Maule,Curepto,9255.0,1305.0,0.1409961701302721,0.08545458644956458,0.1965377538109797,Sí,Directa y Sintética (Fay-Herriot),0.1248884156947247,0.07252935229220589,0.1772474790972436
7104,Maule,Empedrado,4195.0,528.0,0.1258615159951405,0.06951626231903016,0.1822067696712508,Sí,Sintética,0.1810387600156589,0.1230684640318587,0.2390090559994591
7105,Maule,Maule,65590.0,5951.0,0.09072496036521659,0.0561326066160823,0.1253173141143509,Sí,Directa y Sintética (Fay-Herriot),0.1103678762469931,0.06915188343508288,0.1515838690589033
7106,Maule,Pelarco,9289.0,1094.0,0.1177984450149211,0.0666143371094145,0.1689825529204276,Sí,Sintética,0.2060063051451192,0.1469038727823959,0.2651087375078425
7107,Maule,Pencahue,8622.0,1008.0,0.1168547056300677,0.06446680591740428,0.1692426053427311,Sí,Sintética,0.2063081350629477,0.1369034308583228,0.2757128392675726
7108,Maule,Río Claro,14984.0,1409.0,0.0940344211187788,0.04203465829836723,0.1460341839391904,Sí,Sintética,0.2079968740283901,0.1451688329604097,0.2708249150963706
7109,Maule,San Clemente,47340.0,4984.0,0.1052914243377955,0.06711221813090507,0.1434706305446859,Sí,Directa y Sintética (Fay-Herriot),0.1803188109056239,0.1319553700368229,0.2286822517744249
7110,Maule,San Rafael,10231.0,1152.0,0.1126402723092326,0.0666465941662227,0.1586339504522424,Sí,Directa y Sintética (Fay-Herriot),0.1197787028133674,0.0687251930717376,0.1708322125549971
7201,Maule,Cauquenes,44334.0,5130.0,0.1157221024864185,0.07718489924303479,0.1542593057298022,Sí,Directa y Sintética (Fay-Herriot),0.1612264833012279,0.1135822377112621,0.2088707288911936
7202,Maule,Chanco,9287.0,1329.0,0.1431555836782915,0.09553573094902312,0.1907754364075599,Sí,Directa y Sintética (Fay-Herriot),0.2280337293486035,0.1671153050756049,0.288952153621602
7203,Maule,Pelluhue,8311.0,1063.0,0.1278868865740387,0.07588425154712145,0.179889521600956,Sí,Directa y Sintética (Fay-Herriot),0.2019016499091143,0.1386441622313138,0.2651591375869148
7301,Maule,Curicó,168469.0,12254.0,0.07273449639652813,0.0520500956113106,0.09341889718174565,Sí,Directa y Sintética (Fay-Herriot),0.174270016603429,0.1439792496665943,0.2045607835402636
7302,Maule,Hualañé,10231.0,942.0,0.09209534067128783,0.04109252703344079,0.1430981543091349,Sí,Sintética,0.1613148822912643,0.1041821900715131,0.2184475745110156
7303,Maule,Licantén,6994.0,514.0,0.07352908912802301,0.02610768714835025,0.1209504911076958,Sí,Sintética,0.1443029071057684,0.09667883150878848,0.1919269827027484
7304,Maule,Molina,51200.0,4030.0,0.07871885879024679,0.04357186907911285,0.1138658485013807,Sí,Directa y Sintética (Fay-Herriot),0.1792187669623471,0.1295451496892847,0.2288923842354095
7305,Maule,Rauco,11557.0,1210.0,0.1046940775833883,0.05357330095730965,0.1558148542094669,Sí,Sintética,0.1869603474046295,0.1274309675903246,0.2464897272189344
7306,Maule,Romeral,16637.0,1273.0,0.07650278340054337,0.03418486284735406,0.1188207039537327,Sí,Sintética,0.1638044877870572,0.1080721197136246,0.2195368558604897
7307,Maule,Sagrada Familia,19651.0,1722.0,0.08760605644640407,0.04046853768977472,0.1347435752030334,Sí,Sintética,0.1663596148994721,0.1052719436949354,0.2274472861040089
7308,Maule,Teno,31493.0,2374.0,0.0753906417667139,0.03558844434552545,0.1151928391879024,Sí,Directa y Sintética (Fay-Herriot),0.1871496463325077,0.1309587452732493,0.2433405473917662
7309,Maule,Vichuquén,4348.0,379.0,0.08721674240505135,0.03578613285293274,0.13864735195717,Sí,Sintética,0.2020057626313176,0.125443604060606,0.2785679212020292
7401,Maule,Linares,102909.0,9117.0,0.08859195521691694,0.06215739685832535,0.1150265135755085,Sí,Directa y Sintética (Fay-Herriot),0.1047177256301094,0.07105110917355464,0.1383843420866642
7402,Maule,Colbún,23140.0,2733.0,0.1181205973029969,0.07284535714512617,0.1633958374608677,Sí,Directa y Sintética (Fay-Herriot),0.2037950260841096,0.1469977624432477,0.2605922897249715
7403,Maule,Longaví,33333.0,3870.0,0.1161055510284763,0.06867929786993629,0.1635318041870163,Sí,Directa y Sintética (Fay-Herriot),0.2150522571608853,0.15750889577473,0.2725956185470407
7404,Maule,Parral,45211.0,4194.0,0.09277406472763614,0.0586620203653295,0.1268861090899428,Sí,Directa y Sintética (Fay-Herriot),0.1357331702205417,0.0948771241472666,0.1765892162938168
7405,Maule,Retiro,21331.0,2599.0,0.1218370057800926,0.07499970817714252,0.1686743033830427,Sí,Directa y Sintética (Fay-Herriot),0.1887671387886526,0.1253790836536372,0.2521551939236681
7406,Maule,San Javier,50703.0,4921.0,0.09705000274390138,0.05791159710042549,0.1361884083873773,Sí,Directa y Sintética (Fay-Herriot),0.1550942014328016,0.1072007530278332,0.20298764983777
7407,Maule,Villa Alegre,17835.0,1743.0,0.09774061287489391,0.04758490476838383,0.147896320981404,Sí,Sintética,0.1333261529497468,0.08077314090013174,0.1858791649993618
7408,Maule,Yerbas Buenas,19576.0,2265.0,0.1156975900531806,0.07058890833544573,0.1608062717709155,Sí,Directa y Sintética (Fay-Herriot),0.1674776312342532,0.10761194396026,0.2273433185082464
